ID,EVENT_TYPE,LHS_LABEL,RHS_LABEL,LHS,RHS_ID,LHS_ID,RHS,DATE,ANNOTATION,COMMENT,
1,candidateposition,candidate,position_aspirational,Jorge Eli��cer Gait��n,NA,175354272,President,9/3/1948,TRUE,,
2,candidateposition,candidate,position_aspirational,Jorge Eli��cer Gait��n,NA,175354272,President,9/3/2013,false:time:1,,
3,candidateposition,candidate,position_aspirational,Jorge Eli��cer Gait��n,NA,175354272,President,1/0/1948,TRUE,,
4,candidateposition,candidate,position_aspirational,Jorge Eli��cer Gait��n,NA,175354272,President,10/3/1948,TRUE,,
5,candidateposition,candidate,position_aspirational,Jorge Eli��cer Gait��n,NA,175354272,President,1/3/1948,TRUE,,
6,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,14/3/2013,TRUE,,
7,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,6/3/2013,TRUE,,
8,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,11/3/2013,TRUE,,
9,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,12/3/2013,TRUE,,
10,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,7/3/2013,TRUE,,
11,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,2/3/2013,TRUE,,
12,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,20/3/2013,TRUE,,
13,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,15/3/2013,TRUE,,
14,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,30/2/2013,TRUE,,
15,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,1/3/2013,TRUE,,
16,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,9/3/2013,TRUE,,
17,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,1/0/2013,TRUE,,
18,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,18/3/2013,TRUE,,
19,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,23/3/2013,TRUE,,
20,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,28/3/2013,TRUE,,
21,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,8/3/2013,TRUE,,
22,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,13/3/2013,TRUE,,
23,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,3/3/2013,TRUE,,
24,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,5/2/2013,TRUE,,
25,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,5/3/2013,TRUE,,
26,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,4/3/2013,TRUE,,
27,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,21/8/2012,TRUE,,
28,candidateposition,candidate,position_aspirational,Nicolas Maduro,NA,40181721,President,1/11/2012,TRUE,,
