key_columns: ['ID']
EVENT_TYPE, LHS_LABEL, SOFT_FD
EVENT_TYPE, RHS_LABEL, SOFT_FD
EVENT_TYPE, LHS, 0.559
EVENT_TYPE, RHS_ID, 0.692
EVENT_TYPE, LHS_ID, 0.594
EVENT_TYPE, RHS, 0.692
EVENT_TYPE, DATE, 0.273
EVENT_TYPE, ANNOTATION, 0.226
LHS_LABEL, EVENT_TYPE, SOFT_FD
LHS_LABEL, RHS_LABEL, SOFT_FD
LHS_LABEL, LHS, 0.559
LHS_LABEL, RHS_ID, 0.692
LHS_LABEL, LHS_ID, 0.594
LHS_LABEL, RHS, 0.692
LHS_LABEL, DATE, 0.273
LHS_LABEL, ANNOTATION, 0.226
RHS_LABEL, EVENT_TYPE, SOFT_FD
RHS_LABEL, LHS_LABEL, SOFT_FD
RHS_LABEL, LHS, 0.559
RHS_LABEL, RHS_ID, 0.692
RHS_LABEL, LHS_ID, 0.594
RHS_LABEL, RHS, 0.692
RHS_LABEL, DATE, 0.273
RHS_LABEL, ANNOTATION, 0.226
LHS, EVENT_TYPE, SOFT_FD
LHS, LHS_LABEL, SOFT_FD
LHS, RHS_LABEL, SOFT_FD
LHS, RHS_ID, 0.640
LHS, LHS_ID, 0.487
LHS, RHS, 0.640
LHS, DATE, 0.275
LHS, ANNOTATION, 0.525
LHS, COMMENT, 0.331
RHS_ID, EVENT_TYPE, SOFT_FD
RHS_ID, LHS_LABEL, SOFT_FD
RHS_ID, RHS_LABEL, SOFT_FD
RHS_ID, LHS, 0.640
RHS_ID, LHS_ID, 0.486
RHS_ID, RHS, 0.846
RHS_ID, DATE, 0.318
RHS_ID, ANNOTATION, 0.205
RHS_ID, COMMENT, 0.199
LHS_ID, EVENT_TYPE, SOFT_FD
LHS_ID, LHS_LABEL, SOFT_FD
LHS_ID, RHS_LABEL, SOFT_FD
LHS_ID, LHS, 0.487
LHS_ID, RHS_ID, 0.486
LHS_ID, RHS, 0.485
LHS_ID, DATE, 0.267
LHS_ID, ANNOTATION, 0.495
LHS_ID, COMMENT, 0.236
RHS, EVENT_TYPE, SOFT_FD
RHS, LHS_LABEL, SOFT_FD
RHS, RHS_LABEL, SOFT_FD
RHS, LHS, 0.640
RHS, RHS_ID, 0.846
RHS, LHS_ID, 0.485
RHS, DATE, 0.318
RHS, ANNOTATION, 0.205
RHS, COMMENT, 0.199
DATE, EVENT_TYPE, 0.273
DATE, LHS_LABEL, 0.273
DATE, RHS_LABEL, 0.273
DATE, LHS, 0.275
DATE, RHS_ID, 0.318
DATE, LHS_ID, 0.267
DATE, RHS, 0.318
DATE, ANNOTATION, 0.272
DATE, COMMENT, 0.151
ANNOTATION, EVENT_TYPE, 0.226
ANNOTATION, LHS_LABEL, 0.226
ANNOTATION, RHS_LABEL, 0.226
ANNOTATION, LHS, 0.525
ANNOTATION, RHS_ID, 0.205
ANNOTATION, LHS_ID, 0.495
ANNOTATION, RHS, 0.205
ANNOTATION, DATE, 0.272
ANNOTATION, COMMENT, 0.341
COMMENT, LHS, 0.331
COMMENT, RHS_ID, 0.199
COMMENT, LHS_ID, 0.236
COMMENT, RHS, 0.199
COMMENT, DATE, 0.151
COMMENT, ANNOTATION, 0.341
