EducationalInstitution,Settlement,City,State,areaCode,postalCode
AIB College of Business,2500 Fleur Drive,Des Moines,Iowa,50321,515
Abilene Christian University,1600 Campus Court,Abilene,Texas,79699,325
Abraham Baldwin Agricultural College,2802 Moore Hwy,Tifton,Georgia,31793,229
Academy of Art University,79 New Montgomery,San Francisco,California,94105,415
Adams State University,208 Edgemont Blvd,Alamosa,Colorado,81102,719
Adelphi University,South Ave,Garden City,New York,11530,516
Adrian College,110 S Madison St,Adrian,Michigan,49221,517
Adventist University of Health Sciences,671 Winyah Drive,Orlando,Florida,32803,407
Agnes Scott College,141 E. College Ave,Decatur,Georgia,30030,404
Alabama State University,915 S Jackson Street,Montgomery,Alabama,36104,334
Alaska Pacific University,4101 University Dr,Anchorage,Alaska,99508,907
Albany State University,504 College Drive,Albany,Georgia,31705,229
Albertus Magnus College,700 Prospect St,New Haven,Connecticut,6511,203
Albion College,611 E Porter St,Albion,Michigan,49224,517
Albright College,1621 N. 13th St.,Reading,Pennsylvania,19612,610
Alcorn State University,1000 ASU Dr Ste 359,Alcorn State,Mississippi,39096,601
Alderson Broaddus University,101 College Hill Drive,Philippi,West Virginia,26416,304
Alfred University,One Saxon Dr,Alfred,New York,14802,607
Alice Lloyd College,100 Purpose Rd,Pippa Passes,Kentucky,41844,606
Allegheny College,520 N Main St,Meadville,Pennsylvania,16335,814
Allen College,1825 Logan Avenue,Waterloo,Iowa,50703,319
Allen University,1530 Harden Street,Columbia,South Carolina,29204,803
Alliant International University,10455 Pomerado Road,San Diego,California,92131,858
Alma College,614 W. Superior Street,Alma,Michigan,48801,989
Alverno College,3400 S 43rd  St,Milwaukee,Wisconsin,53234,414
Amberton University,1700 Eastgate Dr,Garland,Texas,75041,972
American Academy of Art,332 S Michigan Ave,Chicago,Illinois,60604,312
American Indian College of the Assemblies of God,10020 N 15th Ave,Phoenix,Arizona,85021,602
American InterContinental University,"231 North Martingale Road, 6th floor",Schaumburg,Illinois,60173,
American International College,1000 State Street,Springfield,Massachusetts,1109,413
American Jewish University,15600 Mulholland Dr,Los Angeles,California,90077,310
American Public University System,111 West Congress Street,Charles Town,West Virginia,25414,
American University of Puerto Rico,"Carr. #2, Km.14.7, Bo. Hato Tejas, P.O. Box 2037",Bayamon,Puerto Rico,960,787
American University,4400 Massachusetts Avenue N.W.,Washington,District of Columbia,20016,202
Amherst College,Boltwood Avenue,Amherst,Massachusetts,1002,413
Amridge University,1200 Taylor Rd,Montgomery,Alabama,36117,334
Anderson University,1100 E 5th St,Anderson,Indiana,46012,765
Anderson University,316 Boulevard,Anderson,South Carolina,29621,864
Andrews University,US 31 North,Berrien Springs,Michigan,49104,800
Angelo State University,2601 W Avenue N,San Angelo,Texas,76909,325
Anna Maria College,10 Sunset Lane,Paxton,Massachusetts,1612,508
Antioch University,900 Dayton Street,Yellow Springs,Ohio,45387,937
Appalachian Bible College,161 College Drive,Mt. Hope,West Virginia,25880,304
Appalachian State University,,Boone,North Carolina,28608,828
Aquinas College,1607 Robinson Rd SE,Grand Rapids,Michigan,49506,616
Aquinas College,4210 Harding Roadd,Nashville,Tennessee,32705,615
Arcadia University,450 S Easton Rd,Glenside,Pennsylvania,19038,215
Arizona Christian University,2625 E. Cactus Road,Phoenix,Arizona,85032,602
Arizona State University,P.O. Box 2203,Tempe,Arizona,85287,480
Arkansas Baptist College,1621 Dr. Martin Luther King Drive,Little Rock,Arkansas,72202,501
Arkansas State University,P.O. Box 600,State University,Arkansas,72467,870
Arkansas Tech University,"Administration Bldg. 200, 1509 North Boulder Avenue",Russellville,Arkansas,72801,479
Armstrong Atlantic State University,11935 Abercorn St,Savannah,Georgia,31419,912
Art Academy of Cincinnati,1212 Jackson Street,Cincinnati,Ohio,45202,513
Art Center College of Design,1700 Lida St,Pasadena,California,91103,626
Asbury University,1 Macklem Drive,Wilmore,Kentucky,40390,859
Ashford University,400 North Bluff Blvd.,Clinton,Iowa,52732,563
Ashland University,401 College Ave,Ashland,Ohio,44805,419
Assumption College,500 Salisbury St,Worcester,Massachusetts,1609,508
Athens State University,300 N Beaty St,Athens,Alabama,35611,256
Augsburg College,2211 Riverside Ave,Minneapolis,Minnesota,55454,612
Augustana College,2001 S Summit Ave,Sioux Falls,South Dakota,57197,605
Augustana College,639 38th St,Rock Island,Illinois,61201,309
Aurora University,347 S Gladstone Ave,Aurora,Illinois,60506,630
Austin College,900 N Grand Ave,Sherman,Texas,75090,903
Austin Peay State University,601 College St,Clarksville,Tennessee,37044,931
Ave Maria University,5050 Ave Maria Boulevard,Ave Maria,Florida,34142,
Averett University,420 W Main St,Danville,Virginia,24541,434
Avila University,11901 Wornall Rd,Kansas City,Missouri,64145,816
Azusa Pacific University,901 E Alosta,Azusa,California,91702,626
Babson College,Babson Park,Wellesley,Massachusetts,2457,781
Bacone College,2299 Old Bacone Rd.,Muskogee,Oklahoma,74403,918
Baker University,618 Eighth Street,Baldwin City,Kansas,66006,785
Ball State University,2000 University Ave,Muncie,Indiana,47306,765
Baptist Bible College,628 E Kearney,Springfield,Missouri,65803,417
Baptist Memorial College of Health Sciences,1003 Monroe Ave,Memphis,Tennessee,38104,901
Baptist Missionary Association Theological Seminary,1530 E Pine St,Jacksonville,Texas,75766,903
Bard College,30 Campus Road,Annandale-On-Hudson,New York,12504,845
Barnard College,3009 Broadway,New York,New York,10027,212
Barry University,11300 NE 2nd Ave,Miami Shores,Florida,33161,800
Barton College,200 Atlantic Christian College Drive,Wilson,North Carolina,27893,252
Bastyr University,14500 Juanita Drive NE,Kenmore,Washington,98028,425
Bates College,"2 Andrews Road, 2 Lane Hall",Lewiston,Maine,4240,207
Bauder College,"384 Northyards Blvd., Suite 190",Atlanta,Georgia,30313,404
Bay Path College,588 Longmeadow Street,Longmeadow,Massachusetts,1106,413
Bayamon Central University,Avenida Zaya Verde La Milagrosa Barrio Hato Tejas,Bayamon,Puerto Rico,959,787
Baylor University,500 Speight Ave.,Waco,Texas,76798,254
Beacon College,105 E Main St,Leesburg,Florida,34748,352
Becker College,61 Sever St,Worcester,Massachusetts,1609,508
Belhaven University,1500 Peachtree St,Jackson,Mississippi,39202,601
Bellarmine University,2001 Newburg Rd,Louisville,Kentucky,40205,502
Bellevue College,3000 Landerholm Circle SE,Bellevue,Washington,98007,425
Bellevue University,1000 Galvin Rd S,Bellevue,Nebraska,68005,402
Bellin College,725 S Webster Ave,Green Bay,Wisconsin,54301,920
Belmont Abbey College,100 Belmont-Mt Holly Road,Belmont,North Carolina,28012,704
Belmont University,1900 Belmont Blvd,Nashville,Tennessee,37212,615
Beloit College,700 College St,Beloit,Wisconsin,53511,608
Bemidji State University,1500 Birchmont Drive NE,Bemidji,Minnesota,56601,800
Benedict College,1600 Harden Street,Columbia,South Carolina,29204,803
Benedictine College,1020 N 2nd St,Atchison,Kansas,66002,913
Benedictine University,5700 College Road,Lisle,Illinois,60532,630
Benjamin Franklin Institute of Technology,41 Berkeley St,Boston,Massachusetts,2116,617
Bennington College,One College Drive,Bennington,Vermont,5201,802
Bentley University,175 Forest St,Waltham,Massachusetts,2452,781
Berea College,101 Chestnut Street,Berea,Kentucky,40404,859
Berkeley College,3 East 43 Street,New York,New York,10017,212
Berkeley College,44 Rifle Camp Rd,West Paterson,New Jersey,7424,973
Berklee College of Music,1140 Boylston St,Boston,Massachusetts,2215,617
Berry College,2277 Martha Berry Hwy NW,Mount Berry,Georgia,30149,706
Bethany College,335 E. Swensson Street,Lindsborg,Kansas,67456,785
Bethany College,Old Main,Bethany,West Virginia,26032,304
Bethany Lutheran College,700 Luther Dr,Mankato,Minnesota,56001,507
Bethel College,1001 W McKinley Ave,Mishawaka,Indiana,46545,574
Bethel College,1705 Todds Lane,Hampton,Virginia,23666,757
Bethel College,300 E 27th St,North Newton,Kansas,67117,316
